,index,species,location,ts.length,ts.start,ts.end,lat,lon
50,50,Lake sockeye,Alastair,48,1960,2011,54.1997,-129.6797
51,51,Lake sockeye,Anderson-Seton-Early Summer,44,1968,2011,49.1087,-123.2001
53,53,Lake sockeye,Awun,49,1957,2012,53.6956,-132.3796
1,1,Chinook,Bella Coola-Bentinck,27,1985,2011,52.3832,-126.7826
12,12,Chum,Bella Coola-Dean Rivers,59,1954,2012,52.7958,-126.9712
29,29,Coho,Bella Coola-Dean Rivers,60,1954,2013,52.7958,-126.9712
59,59,Lake sockeye,Bloomfield,44,1954,2008,52.8673,-128.6906
60,60,Lake sockeye,Bowron-Early Summer,62,1950,2011,49.1087,-123.2001
30,30,Coho,Brim-Wahoo,45,1959,2013,53.5059,-128.3672
61,61,Lake sockeye,Canoona,30,1975,2008,53.0773,-128.5526
62,62,Lake sockeye,Chilko-Summer,62,1950,2011,49.1087,-123.2001
63,63,Lake sockeye,Curtis Inlet,27,1960,2002,53.5439,-129.8876
64,64,Lake sockeye,Damdochax,21,1982,2011,54.9849,-129.7368
2,2,Chinook,Dean River,27,1985,2011,52.8064,-126.9593
66,66,Lake sockeye,Devon,39,1960,2002,53.45,-129.8076
31,31,Coho,Douglas Channel-Kitimat Arm,44,1959,2013,53.9347,-128.6988
13,13,Chum,Douglas-Gardner,59,1954,2012,53.7868,-128.8462
14,14,Chum,East Haida Gwaii,55,1954,2008,53.2815,-131.9029
32,32,Coho,East Haida Gwaii,60,1954,2013,53.2815,-131.9029
116,116,Pink (even),East Haida Gwaii (even),31,1954,2014,53.2815,-131.9029
125,125,Pink (odd),East Haida Gwaii (odd),31,1955,2015,53.2815,-131.9029
126,126,Pink (odd),East Howe Sound-Burrard Inlet (odd),29,1957,2013,49.3316,-123.2867
127,127,Pink (odd),East Vancouver Island-Johnstone Strait (odd),29,1957,2013,50.4583,-126.0568
67,67,Lake sockeye,Evelyn,46,1954,2011,53.5683,-128.9598
68,68,Lake sockeye,Francois-Fraser-Summer,62,1950,2011,49.1087,-123.2001
128,128,Pink (odd),Fraser River (odd),30,1959,2017,49.1087,-123.2001
117,117,Pink (even),Georgia Strait (even),31,1954,2014,49.4052,-124.0343
129,129,Pink (odd),Georgia Strait (odd),29,1957,2013,49.4052,-124.0343
71,71,Lake sockeye,Great Central,35,1977,2011,49.2322,-124.8261
34,34,Coho,Haida Gwaii-Graham Island Lowlands,45,1954,2008,53.4969,-131.8797
139,139,River sockeye,Harrison River (river-type),61,1950,2010,49.1087,-123.2001
72,72,Lake sockeye,Harrison-Upstream Migrating-Late,46,1966,2011,49.1087,-123.2001
73,73,Lake sockeye,Hartley Bay,28,1955,2011,53.4167,-129.2428
15,15,Chum,Hecate Lowlands,59,1954,2012,53.7289,-130.5394137
118,118,Pink (even),Hecate Lowlands (even),31,1954,2014,53.7289,-130.5394137
35,35,Coho,Hecate Strait Mainland,60,1954,2013,53.2402,-130.9093
